Date : 2024-04-17 14:21:23
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime
Total : 218 files,  20101 codes, 12190 comments, 3597 blanks, all 35888 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarBoolean.cs                                                              | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarByte.cs                                                                 | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarByteArray.cs                                                            | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarChar.cs                                                                 | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarCharArray.cs                                                            | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarColor.cs                                                                | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarColor32.cs                                                              | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarDateTime.cs                                                             | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarDecimal.cs                                                              | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarDouble.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarGameObject.cs                                                           | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarInt16.cs                                                                | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarInt32.cs                                                                | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarInt64.cs                                                                | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarMaterial.cs                                                             | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarObject.cs                                                               | C#                      |         10 |         12 |          3 |         25 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarQuaternion.cs                                                           | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarRect.cs                                                                 | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarSByte.cs                                                                | C#                      |         20 |         20 |          5 |         45 |
