Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/IDataTableManager.cs                                          | C#                      |         42 |        141 |         29 |        212 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/DebuggerManager.DebuggerWindowGroup.cs                         | C#                      |        208 |         62 |         38 |        308 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/DebuggerManager.cs                                             | C#                      |         76 |         51 |         15 |        142 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerManager.cs                                            | C#                      |         19 |         36 |          7 |         62 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerWindow.cs                                             | C#                      |         12 |         30 |          7 |         49 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerWindowGroup.cs                                        | C#                      |         22 |         31 |          7 |         60 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/Constant.cs                                                    | C#                      |          7 |         12 |          2 |         21 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperCompleteEventArgs.cs                        | C#                      |         29 |         23 |          6 |         58 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperErrorEventArgs.cs                           | C#                      |         33 |         27 |          6 |         66 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperUpdateBytesEventArgs.cs                     | C#                      |         53 |         31 |         11 |         95 |
